id,type,lat,lon,emergency,fire_hydrant:type,fire_hydrant:diameter,operator,colour,color,ref,description,addr:street,addr:housenumber,addr:city,addr:postcode,addr:state,source,survey:date,fire_hydrant:position,fire_hydrant:pressure,access,note,water_source,timestamp,version,changeset,user,uid,all_tags
12730018222,node,41.8672178,-87.6283943,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2025-04-05T00:09:35Z,3,164531951,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
12730024927,node,41.8699639,-87.6285254,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2025-04-05T00:10:25Z,3,164531951,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
12730025772,node,41.8691146,-87.6285075,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2025-04-05T00:10:14Z,3,164531951,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
12730031406,node,41.8682668,-87.6284852,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2025-04-05T00:10:02Z,3,164531951,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
12730037419,node,41.8678082,-87.6285544,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2025-04-05T00:10:00Z,3,164531951,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
12730038679,node,41.8706709,-87.628547,fire_hydrant,pillar,,,,,,,,,,,,,,green,,,,,2025-04-05T00:10:28Z,3,164531951,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""green"",""fire_hydrant:type"":""pillar""}"
12731318198,node,41.876404,-87.6291619,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-04-05T14:02:58Z,3,164552894,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12824686878,node,41.8379188,-87.6510074,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-05-09T22:41:17Z,3,166048632,OSMWeekly,8610118,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12828772549,node,41.8759584,-87.6316852,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-05-11T16:34:59Z,3,166117195,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12830891513,node,41.8807459,-87.6321822,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-05-12T16:01:10Z,3,166160066,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12840445598,node,41.8807429,-87.625947,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-05-15T18:14:29Z,3,166317946,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12859621750,node,41.9157126,-87.6875617,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-05-23T22:33:14Z,3,166676445,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12874203145,node,41.8743865,-87.6316433,fire_hydrant,pillar,,,,,,,,,,,,,,sidewalk,,,,,2025-05-29T22:24:51Z,3,166944910,wrennifer,5007182,"{""emergency"":""fire_hydrant"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar""}"
12892454347,node,41.9687785,-87.6841961,fire_hydrant,pillar,8”,,red,,,,,,,,,,2025-06-06,sidewalk,,,,main,2025-06-06T19:40:45Z,2,167283444,epicspongee,8636528,"{""colour"":""red"",""couplings"":""2"",""emergency"":""fire_hydrant"",""fire_hydrant:diameter"":""8\u201d"",""fire_hydrant:position"":""sidewalk"",""fire_hydrant:type"":""pillar"",""survey:date"":""2025-06-06"",""water_source"":""main""}"
12892454348,node,41.9695087,-87.6841658,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-06T16:18:44Z,1,167275390,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar"",""fixme"":""resurvey""}"
12892470733,node,41.9688052,-87.6822872,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-06T16:21:15Z,1,167275502,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar"",""fixme"":""resurvey""}"
12892470734,node,41.968797,-87.683016,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-06T16:21:15Z,1,167275502,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar"",""fixme"":""resurvey""}"
12893367572,node,41.8809253,-87.626275,fire_hydrant,pipe,,,,,,,,,,,,,,,,,,,2025-06-06T19:35:17Z,2,167283260,OSMWeekly,8610118,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pipe""}"
12899895819,node,41.9685571,-87.6841308,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:38:59Z,1,167413445,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899895820,node,41.9678234,-87.6841711,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:38:59Z,1,167413445,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899895821,node,41.9678157,-87.6852466,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:38:59Z,1,167413445,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899895824,node,41.9678112,-87.6863223,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:38:59Z,1,167413445,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899895825,node,41.9677219,-87.687223,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:38:59Z,1,167413445,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899923058,node,41.9678415,-87.6832383,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:48:27Z,1,167413783,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899923059,node,41.967892,-87.6799316,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:48:27Z,1,167413783,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899923060,node,41.9678716,-87.6809736,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:48:27Z,1,167413783,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899923061,node,41.9678442,-87.6822093,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:48:27Z,1,167413783,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899923062,node,41.9677704,-87.6806993,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:48:27Z,1,167413783,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899972104,node,41.9679539,-87.6792617,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:54:10Z,1,167414026,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
12899972110,node,41.968848,-87.6793629,fire_hydrant,pillar,,,,,,,,,,,,,,,,,,,2025-06-09T18:54:10Z,1,167414026,epicspongee,8636528,"{""emergency"":""fire_hydrant"",""fire_hydrant:type"":""pillar""}"
